"SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species"
4.7,3.2,1.3,0.2,"Iris-setosa"
4.4,2.9,1.4,0.2,"Iris-setosa"
5.8,4,1.2,0.2,"Iris-setosa"
5.1,3.5,1.4,0.3,"Iris-setosa"
5.4,3.4,1.7,0.2,"Iris-setosa"
4.8,3.1,1.6,0.2,"Iris-setosa"
4.4,3,1.3,0.2,"Iris-setosa"
5,3.5,1.3,0.3,"Iris-setosa"
4.4,3.2,1.3,0.2,"Iris-setosa"
4.8,3,1.4,0.3,"Iris-setosa"
6.4,3.2,4.5,1.5,"Iris-versicolor"
6.5,2.8,4.6,1.5,"Iris-versicolor"
4.9,2.4,3.3,1,"Iris-versicolor"
6.3,2.5,4.9,1.5,"Iris-versicolor"
6.1,2.8,4.7,1.2,"Iris-versicolor"
6,2.9,4.5,1.5,"Iris-versicolor"
5.5,2.4,3.8,1.1,"Iris-versicolor"
6,3.4,4.5,1.6,"Iris-versicolor"
5.5,2.6,4.4,1.2,"Iris-versicolor"
6.1,3,4.6,1.4,"Iris-versicolor"
7.1,3,5.9,2.1,"Iris-virginica"
6.3,2.9,5.6,1.8,"Iris-virginica"
7.7,2.8,6.7,2,"Iris-virginica"
6.2,2.8,4.8,1.8,"Iris-virginica"
6.1,3,4.9,1.8,"Iris-virginica"
6.4,2.8,5.6,2.2,"Iris-virginica"
6.3,2.8,5.1,1.5,"Iris-virginica"
7.7,3,6.1,2.3,"Iris-virginica"
6.7,3,5.2,2.3,"Iris-virginica"
6.3,2.5,5,1.9,"Iris-virginica"
