Clave,descripcion
1,Un individuo
2,Dos individuos
3,Tres individuos
4,Cuatro individuos
5,Cinco individuos
6,Seis individuos
7,Siete individuos
8,Ocho individuos
9,Nueve individuos
10,Diez individuos
11,Once individuos
12,Doce individuos
13,Trece individuos
14,Catorce individuos
15,Quince individuos
16,Dieciséis individuos
17,Diecisiete individuos
18,Dieciocho individuos
19,Diecinueve individuos
20,Veinte individuos
21,Veintiuno individuos
22,Ventidos individuos
23,Ventitrés individuos
24,Venticuatro individuos
25,Venticinco individuos
26,Ventiséis individuos
27,Ventisiete individuos
28,Ventiocho individuos
29,Veintinueve individuos
30,Treinta individuos
31,Treinta y uno individuos
32,Treinta y dos individuos
33,Treinta y tres individuos
34,Treinta y cuatro individuos
35,Treinta y cinco individuos
36,Treinta y seis individuos
37,Treinta y siete individuos
38,Treinta y ocho individuos
39,Treinta y nueve individuos
40,Cuarenta individuos
41,Cuarenta y uno individuos
42,Cuarenta y dos individuos
43,Cuarenta y tres individuos
44,Cuarenta y cuatro individuos
45,Cuarenta y cinco individuos
46,Cuarenta y seis individuos
47,Cuarenta y siete individuos
48,Cuarenta y ocho individuos
49,Cuarenta y nueve individuos
50,Cincuenta individuos
51,Cincuenta y uno individuos
52,Cincuenta y dos individuos
53,Cincuenta y tres individuos
54,Cincuenta y cuatro individuos
55,Cincuenta y cinco individuos
56,Cincuenta y seis individuos
57,Cincuenta y siete individuos
58,Cincuenta y ocho individuos
59,Cincuenta y nueve individuos
60,Sesenta individuos
61,Sesenta y uno individuos
62,Sesenta y dos individuos
63,Sesenta y tres individuos
64,Sesenta y cuatro individuos
65,Sesenta y cinco individuos
66,Sesenta y seis individuos
67,Sesenta y siete individuos
68,Sesenta y ocho individuos
69,Sesenta y nueve individuos
70,Setenta individuos
71,Setenta y uno individuos
72,Setenta y dos individuos
73,Setenta y tres individuos
74,Setenta y cuatro individuos
75,Setenta y cinco individuos
76,Setenta y seis individuos
77,Setenta y siete individuos
78,Setenta y ocho individuos
79,Setenta y nueve individuos
80,Ochenta individuos
81,Ochenta y uno individuos
82,Ochenta y dos individuos
83,Ochenta y tres individuos
84,Ochenta y cuatro individuos
85,Ochenta y cinco individuos
86,Ochenta y seis individuos
87,Ochenta y siete individuos
88,Ochenta y ocho individuos
89,Ochenta y nueve individuos
90,Noventa individuos
91,Noventa y uno individuos
92,Noventa y dos individuos
93,Noventa y tres individuos
94,Noventa y cuatro individuos
95,Noventa y cinco individuos
96,Noventa y seis individuos
97,Noventa y siete individuos
98,Noventa y ocho individuos
99,Noventa y nueve individuos
100,Cien individuos
101,Ciento uno individuos
102,Ciento dos individuos
103,Ciento tres individuos
104,Ciento cuatro individuos
105,Ciento cinco individuos
106,Ciento seis individuos
107,Ciento siete individuos
108,Ciento ocho individuos
109,Ciento nueve individuos
110,Ciento diez individuos
111,Ciento once individuos
112,Ciento doce individuos
113,Ciento trece individuos
114,Ciento catorce individuos
115,Ciento quince individuos
116,Ciento diesiséis individuos
117,Ciento diesisiete individuos
118,Ciento diesiocho individuos
119,Ciento diesinueve individuos
120,Ciento veinte individuos
121,Ciento veintiuno individuos
122,Ciento ventidos individuos
123,Ciento ventitres individuos
124,Ciento venticuatro individuos
125,Ciento venticinco individuos
126,Ciento ventiséis individuos
127,Ciento ventisiete individuos
128,Ciento ventiocho individuos
129,Ciento veintinueve individuos
130,Ciento treinta individuos
131,Ciento Treinta y uno individuos
132,Ciento Treinta y dos individuos
133,Ciento Treinta y tres individuos
134,Ciento Treinta y cuatro individuos
135,Ciento Treinta y cinco individuos
136,Ciento Treinta y seis individuos
137,Ciento Treinta y siete individuos
138,Ciento Treinta y ocho individuos
139,Ciento Treinta y nueve individuos
140,Ciento Cuarenta individuos
141,Ciento cuarenta y uno individuos
142,Ciento cuarenta y dos individuos
143,Ciento cuarenta y tres individuos
144,Ciento cuarenta y cuatro individuos
145,Ciento cuarenta y cinco individuos
146,Ciento cuarenta y seis individuos
147,Ciento cuarenta y siete individuos
148,Ciento cuarenta y ocho individuos
149,Ciento cuarenta y nueve individuos
150,Ciento Cincuenta individuos
151,Ciento cincuenta y uno individuos
152,Ciento cincuenta y dos individuos
153,Ciento cincuenta y tres individuos
154,Ciento cincuenta y cuatro individuos
155,Ciento cincuenta y cinco individuos
156,Ciento cincuenta y seis individuos
157,Ciento cincuenta y siete individuos
